dataset,vega-lite,command,query,question
college_2_course,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap of the number of courses per department and credit value.', 'data': {'url': 'spider_csv/college_2_course.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'dept_name', 'type': 'ordinal'}, 'y': {'field': 'credits', 'type': 'ordinal'}, 'color': {'aggregate': 'count', 'type': 'quantitative'}}}","['Create a heatmap with departments on the x-axis, credit values on the y-axis, and color rectangles by the count of courses per department and credit value combination.']","['Heatmap of department vs credit value, colored by course count']",['How does the number of courses vary across departments and credit values?']
college_3_COURSE,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the distribution of courses across different days and hours.', 'data': {'url': 'spider_csv/college_3_COURSE.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'Days', 'type': 'nominal', 'axis': {'title': 'Days of the Week'}}, 'y': {'field': 'Hours', 'type': 'nominal', 'axis': {'title': 'Time of Day'}}, 'color': {'aggregate': 'count', 'field': 'CID', 'type': 'quantitative', 'scale': {'scheme': 'greenblue'}, 'legend': {'title': 'Number of Courses'}}}}","[""Create a heatmap with 'Days of the Week' on the x-axis and 'Time of Day' on the y-axis, using a greenblue color scheme to represent the count of 'CID'.""]","['Heatmap of CID count for Days of the Week (MTW, Th, ThF) by Time of Day (3, 4, 12) with greenblue color scale.']",["How does the count of CID vary across different 'Days of the Week' and 'Time of Day' combinations?"]
company_office_Companies,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the total sales in billions of dollars per industry by country of headquarters.', 'data': {'url': 'spider_csv/company_office_Companies.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'Industry', 'type': 'nominal'}, 'y': {'field': 'Headquarters', 'type': 'nominal'}, 'color': {'field': 'Sales_billion', 'type': 'quantitative', 'aggregate': 'sum'}}}","['Create a heatmap with Sectors on the x-axis, Countries of HQ on the y-axis, and color-code the cells by the sum of Sales in billions.']","['Heatmap of Sector by Country of HQ, colored by sum of Sales_billion.']",['How do the sums of Sales in billions vary across Sectors and Countries of HQ?']
county_public_safety_county_public_safety,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the crime rate per police force in different locations.', 'data': {'url': 'spider_csv/county_public_safety_county_public_safety.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'Location', 'type': 'ordinal', 'sort': {'field': 'Location'}}, 'y': {'field': 'Police_force', 'type': 'ordinal', 'sort': {'field': 'Police_force'}}, 'color': {'field': 'Crime_rate', 'type': 'quantitative', 'scale': {'scheme': 'redblue'}}}}","[""Create a heatmap with 'Region' on the x-axis, 'Law Enforcement Agency' on the y-axis, and color-code by 'Crime Frequency' using a red-blue scheme.""]","['Heatmap of Region vs Law Enforcement Agency, colored by Crime Frequency with red-blue scale.']",["How does the 'Crime Frequency' vary across 'Region' and 'Law Enforcement Agency'?"]
cre_Docs_and_Epenses_Ref_document_types,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap of document types with their corresponding codes and names, color-encoded by their descriptions.', 'data': {'url': 'spider_csv/cre_Docs_and_Epenses_Ref_document_types.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'Document_Type_Code', 'type': 'nominal', 'axis': {'title': 'Document Type Code'}}, 'y': {'field': 'Document_Type_Name', 'type': 'nominal', 'axis': {'title': 'Document Type Name'}}, 'color': {'field': 'Document_Type_Description', 'type': 'ordinal', 'scale': {'scheme': 'category10'}, 'legend': {'title': 'Description'}}}}",["Create a heatmap with 'Document Type Code' on the x-axis."],['heatmap of Document Type Code'],["How does the heatmap represent the 'Document Type Code'?"]
cre_Doc_Control_Systems_Documents,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the count of documents by status and month of receipt.', 'data': {'url': 'spider_csv/cre_Doc_Control_Systems_Documents.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'receipt_date', 'type': 'temporal', 'timeUnit': 'month'}, 'y': {'field': 'document_status_code', 'type': 'nominal'}, 'color': {'aggregate': 'count', 'type': 'quantitative'}}}","[""Create a heatmap with 'receipt_month' on the x-axis, binned by month, and 'status' on the y-axis, shading rectangles by document count.""]","['Heatmap of receipt_month by status, with shade representing count of documents']",['How does the count of documents vary by month and status?']
document_management_documents,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the total access count for each combination of document structure and type.', 'data': {'url': 'spider_csv/document_management_documents.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'document_structure_code', 'type': 'ordinal'}, 'y': {'field': 'document_type_code', 'type': 'nominal'}, 'color': {'field': 'access_count', 'type': 'quantitative', 'aggregate': 'sum'}}}","[""Create a heatmap with 'Structure Code' on the ordinal x-axis, 'Type' on the nominal y-axis, and color the rectangles by the sum of 'Total Access Count'.""]",['heatmap of Structure Code (ordinal) vs Type (nominal) with color sum(Total Access Count)'],["How does the sum of 'Total Access Count' vary across 'Structure Code' and 'Type' in a heatmap?"]
dorm_1_student,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap of student distribution by age and major in Dormitory 1.', 'data': {'url': 'spider_csv/dorm_1_student.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'Age', 'type': 'quantitative', 'bin': True}, 'y': {'field': 'Major', 'type': 'ordinal'}, 'color': {'aggregate': 'count', 'field': 'StuID', 'type': 'quantitative', 'scale': {'scheme': 'greenblue'}}}}",["Create a heatmap with 'Age' binned on the x-axis."],"['heatmap of Age, x-axis binned']",["How does the heatmap represent 'Age' on the x-axis when binned?"]
election_representative_election,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap chart showing the total number of votes received by representative candidates by date and rank in the election.', 'data': {'url': 'spider_csv/election_representative_election.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'Date', 'type': 'temporal', 'timeUnit': 'yearmonth', 'axis': {'title': 'Year-Month'}}, 'y': {'field': 'Place', 'type': 'ordinal', 'axis': {'title': 'Rank'}}, 'color': {'field': 'Votes', 'type': 'quantitative', 'aggregate': 'sum', 'scale': {'scheme': 'redblue'}}}}","[""Create a heatmap with 'Year-Month' on the x-axis, 'Rank' on the y-axis, and color-coded by the sum of 'Votes' using a red-to-blue color scheme.""]","['Heatmap of sum(Votes) by Year-Month vs Rank [3, 1, 2], with color scale from red to blue.']","['How does the sum of Votes vary by Year-Month and Rank, displayed in a red-to-blue heatmap?']"
election_representative_representative,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the number of elected representatives per state and political party.', 'data': {'url': 'spider_csv/election_representative_representative.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'State', 'type': 'nominal'}, 'y': {'field': 'Party', 'type': 'nominal'}, 'color': {'field': 'Representative_ID', 'type': 'quantitative', 'aggregate': 'count'}}}","[""Create a heatmap with 'Region' on the x-axis, 'Political Party' on the y-axis, and color encode using the count of 'Rep_ID'.""]",['Heatmap of count(Rep_ID) by Region vs Political Party.'],['How does the count of Representative_ID vary across Regions and Political Parties?']
employee_hire_evaluation_employee,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': ""A heatmap showing the distribution of employees' age across different cities."", 'data': {'url': 'spider_csv/employee_hire_evaluation_employee.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'Age', 'type': 'quantitative', 'bin': {'maxbins': 10}}, 'y': {'field': 'City', 'type': 'nominal'}, 'color': {'aggregate': 'count', 'type': 'quantitative'}}}","[""Create a heatmap with the 'Age' field on the x-axis, binned into 10 bins.""]","['Heatmap of Age, binned into 10 bins on x-axis.']",['How does the distribution of Age look when binned into 10 bins on a heatmap?']
e_learning_Student_Tests_Taken,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the number of tests taken per day, binned by test result.', 'data': {'url': 'spider_csv/e_learning_Student_Tests_Taken.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'date_test_taken', 'type': 'temporal', 'timeUnit': 'day', 'axis': {'title': 'Date Test Taken'}}, 'y': {'field': 'test_result', 'type': 'nominal', 'axis': {'title': 'Test Result'}}, 'color': {'field': 'count', 'type': 'quantitative', 'aggregate': 'count', 'scale': {'scheme': 'redblue'}, 'legend': {'title': 'Number of Tests'}}}, 'config': {'view': {'stroke': 'transparent'}, 'axis': {'domainWidth': 1, 'tickSize': 5, 'titleFontSize': 14, 'labelFontSize': 12}}}","[""Create a heatmap with day intervals on the x-axis for 'Date Test Taken' and 'Test Result' on the y-axis, color-coding rectangles by the count of tests taken.""]","[""Heatmap of count(tests taken) by day intervals of 'Date Test Taken', grouped by 'Test Result'.""]",['How do the test results vary over daily intervals?']
film_rank_film,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the total gross earnings of films by directors across different studios.', 'data': {'url': 'spider_csv/film_rank_film.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'Director', 'type': 'ordinal'}, 'y': {'field': 'Studio', 'type': 'ordinal'}, 'color': {'field': 'Gross_in_dollar', 'type': 'quantitative', 'aggregate': 'sum'}}}","['Create a heatmap with filmmakers on the x-axis, production companies on the y-axis, and color the rectangles by the summed total earnings.']",['Heatmap of sum(Total Earnings in Dollars) by Filmmaker and Production Company.'],['How do the total earnings vary across different filmmaker and production company combinations?']
flight_company_flight,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap of flight altitudes over time.', 'data': {'url': 'spider_csv/flight_company_flight.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'Date', 'type': 'temporal', 'timeUnit': 'month'}, 'y': {'field': 'Altitude', 'bin': True, 'type': 'quantitative'}, 'color': {'aggregate': 'count', 'type': 'quantitative'}}}","[""Create a heatmap with the 'Time' field on the x-axis, binned into months.""]","['heatmap of Time, binned by month']",['How does the data vary when binned by month in a heatmap?']
game_1_Plays_games,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the number of hours each student has played each game.', 'data': {'url': 'spider_csv/game_1_Plays_games.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'GameID', 'type': 'ordinal'}, 'y': {'field': 'StuID', 'type': 'ordinal'}, 'color': {'field': 'Hours_Played', 'type': 'quantitative'}}}","[""Create a heatmap with 'Game Number' on the x-axis, 'Student ID' on the y-axis, and color-coded 'Hours Spent Playing'.""]","[""Heatmap of 'Game Number' by 'Student ID', colored by 'Hours Spent Playing'.""]",["How do 'Hours Spent Playing' vary across 'Game Number' for different 'Student ID's?"]
gas_company_company,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the sales of gas companies by industry and rank.', 'data': {'url': 'spider_csv/gas_company_company.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'Rank', 'type': 'ordinal', 'scale': {'paddingInner': 0.5}, 'axis': {'title': 'Rank'}}, 'y': {'field': 'Main_Industry', 'type': 'nominal', 'axis': {'title': 'Main Industry'}}, 'color': {'field': 'Sales_billion', 'type': 'quantitative', 'scale': {'scheme': 'redblue'}, 'legend': {'title': 'Sales (billions)'}}}, 'config': {'axis': {'labelFontSize': 12, 'titleFontSize': 14}}}","[""Create a heatmap with 'Rank' on the x-axis, 'Main Industry' on the y-axis, and color the rectangles based on 'Sales_billion' from red to blue.""]","['Heatmap of Rank by Main Industry, colored by Sales_billion from red to blue.']","[""How do the 'Sales_billion' vary across 'Main Industry' at different 'Rank' levels, displayed in a heatmap?""]"
hr_1_employees,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the number of employees hired per job role per month.', 'data': {'url': 'spider_csv/hr_1_employees.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'HIRE_DATE', 'type': 'temporal', 'timeUnit': 'month'}, 'y': {'field': 'JOB_ID', 'type': 'nominal'}, 'color': {'aggregate': 'count', 'type': 'quantitative'}}}",["Create a heatmap with the 'Date Hired' field aggregated by month on the x-axis."],"[""Heatmap of 'Date Hired', aggregated by month on x-axis.""]",["How does the 'Date Hired' data aggregate by month in a heatmap?"]
inn_1_Rooms,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the number of rooms available based on the number of beds and maximum occupancy.', 'data': {'url': 'spider_csv/inn_1_Rooms.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'beds', 'type': 'ordinal'}, 'y': {'field': 'maxOccupancy', 'type': 'ordinal'}, 'color': {'aggregate': 'count', 'type': 'quantitative'}}}","[""Create a heatmap with 'Number of Beds' on the x-axis and 'Maximum Occupancy' on the y-axis, and color the rectangles by record count.""]","['Heatmap of Number of Beds [1, 2] by Maximum Occupancy [2, 4], colored by count of records.']",["How does the count of rooms vary with 'Number of Beds' and 'Maximum Occupancy'?"]
insurance_policies_Payments,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap of insurance policy payments by month and payment method.', 'data': {'url': 'spider_csv/insurance_policies_Payments.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'Date_Payment_Made', 'type': 'temporal', 'timeUnit': 'month', 'axis': {'title': 'Month of Payment'}}, 'y': {'field': 'Payment_Method_Code', 'type': 'nominal', 'axis': {'title': 'Payment Method'}}, 'color': {'field': 'Amount_Payment', 'type': 'quantitative', 'aggregate': 'sum', 'scale': {'scheme': 'redyellowblue'}, 'legend': {'title': 'Total Payment Amount'}}}, 'config': {'view': {'stroke': 'transparent'}, 'axis': {'domainWidth': 1, 'tickSize': 5, 'titleFontSize': 12, 'labelFontSize': 12}}}","[""Create a heatmap with 'Month of Payment' on the x-axis, 'Payment Method' on the y-axis, and color encode by 'Total Payment Amount'.""]","['Heatmap of Payment_Method_Code by Month_of_Payment, colored with Amount_Payment.']",['How do the total payment amounts vary by month and payment method?']
local_govt_and_lot_Residents,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the number of residents moving in and out by month and year.', 'data': {'url': 'spider_csv/local_govt_and_lot_Residents.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'date_moved_in', 'type': 'temporal', 'timeUnit': 'yearmonth'}, 'y': {'field': 'date_moved_out', 'type': 'temporal', 'timeUnit': 'yearmonth'}, 'color': {'aggregate': 'count', 'field': 'resident_id', 'type': 'quantitative'}}}","[""Create a heatmap with 'Movement In Date' on the x-axis and 'Movement Out Date' on the y-axis, using the count of 'Resident ID' to color the rectangles.""]",['Heatmap of count(Resident ID) by yearmonth(Movement In Date) vs yearmonth(Movement Out Date)'],['How does the count of Resident IDs vary over the yearmonths of Movement In and Movement Out?']
manufacturer_furniture,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the count of furniture items based on the number of components and market rate.', 'data': {'url': 'spider_csv/manufacturer_furniture.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'Num_of_Component', 'type': 'quantitative', 'bin': True}, 'y': {'field': 'Market_Rate', 'type': 'quantitative', 'bin': True}, 'color': {'aggregate': 'count', 'type': 'quantitative'}}}",["Create a heatmap with the 'Number of Parts' binned on the x-axis and the 'Price Rating' binned on the y-axis."],"[""heatmap of 'Number of Parts' vs 'Price Rating', both binned""]",["How do the binned 'Number of Parts' and 'Price Rating' fields correlate in a heatmap?"]
mountain_photos_camera_lens,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap of camera lenses used for mountain photography, binned by focal length and maximum aperture.', 'data': {'url': 'spider_csv/mountain_photos_camera_lens.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'focal_length_mm', 'type': 'quantitative', 'bin': True}, 'y': {'field': 'max_aperture', 'type': 'quantitative', 'bin': True}, 'color': {'aggregate': 'count', 'type': 'quantitative', 'scale': {'scheme': 'greenblue'}}}}","['Create a heatmap with focal length on the x-axis, binned quantitatively, and maximum aperture on the y-axis, binned quantitatively, then color the rectangles based on the count of occurrences using a greenblue color scale.']",['Heatmap of count(focal length) by count(maximum aperture) with greenblue color scale.'],['How does the count of occurrences vary across different focal lengths and maximum apertures?']
mountain_photos_photos,"{'$schema': 'https://vega.github.io/schema/vega-lite/v5.json', 'description': 'A heatmap showing the number of mountain photos taken with different camera lenses for each mountain.', 'data': {'url': 'spider_csv/mountain_photos_photos.csv.csv'}, 'mark': {'type': 'rect', 'tooltip': True}, 'encoding': {'x': {'field': 'camera_lens_id', 'type': 'ordinal'}, 'y': {'field': 'mountain_id', 'type': 'ordinal'}, 'color': {'aggregate': 'count', 'field': 'id', 'type': 'quantitative', 'scale': {'scheme': 'redblue'}}}}","[""Create a heatmap with 'Lens ID' on the x-axis, 'Mountain ID' on the y-axis, and color-code the cells by the count of 'Photo Count' from red to blue.""]","['Heatmap of Lens ID vs Mountain ID, color by count of Photo Count, range from red to blue.']","['How does the count of Photo Count vary across different Lens ID and Mountain ID combinations, as represented in a heatmap with a red to blue color scale?']"
